Tick,RSM1000,NGN,WHEL,GEAR
0,112.86,25.43,26.75,29.17
1,112.31,25.37,26.73,29.08
2,112.95,25.6,26.82,29.24
3,113.43,25.55,26.75,29.26
4,113.46,25.66,26.73,29.31
5,113.71,25.72,26.67,29.43
6,112.8,25.75,26.47,29.22
7,112.84,25.73,26.53,29.31
8,113.34,25.8,26.65,29.44
9,112.55,25.66,26.55,29.48
10,112.48,25.65,26.54,29.5
11,112.59,25.62,26.48,29.51
12,112.73,25.59,26.55,29.57
13,113.45,25.74,26.76,29.81
14,113.05,25.62,26.79,29.79
15,113.03,25.69,26.87,29.85
16,112.59,25.7,26.77,29.79
17,113.43,25.85,26.99,30.07
18,112.09,25.59,26.82,29.76
19,111.55,25.55,26.82,29.6
20,111.58,25.59,26.79,29.58
21,111.42,25.48,26.81,29.58
22,111.24,25.47,26.82,29.61
23,111.27,25.52,26.88,29.6
24,111.11,25.44,26.89,29.7
25,110.64,25.27,26.85,29.61
26,110.92,25.22,26.89,29.67
27,112.45,25.4,27.1,29.99
28,112.5,25.47,27.15,30.02
29,112.73,25.51,27.24,30.01
30,111.45,25.39,26.98,29.76
31,111.6,25.49,27.0,29.72
32,111.08,25.33,26.92,29.65
33,111.18,25.42,26.84,29.64
34,111.25,25.47,26.75,29.63
35,109.66,25.2,26.53,29.23
36,108.91,25.14,26.46,29.09
37,109.1,25.13,26.42,29.18
38,109.63,25.35,26.65,29.24
39,110.13,25.49,26.72,29.39
40,110.15,25.53,26.77,29.31
41,109.28,25.36,26.68,29.12
42,110.04,25.44,26.81,29.23
43,109.79,25.46,26.85,29.22
44,109.05,25.35,26.7,29.01
45,109.08,25.48,26.59,29.15
46,108.53,25.46,26.54,28.98
47,108.91,25.51,26.62,29.1
48,108.28,25.32,26.5,29.01
49,108.18,25.34,26.44,29.05
50,108.56,25.47,26.59,29.11
51,108.87,25.49,26.72,29.19
52,107.77,25.35,26.59,28.99
53,107.4,25.31,26.55,28.71
54,107.02,25.29,26.47,28.68
55,106.35,25.07,26.4,28.48
56,106.58,25.1,26.53,28.46
57,107.31,25.19,26.66,28.64
58,107.94,25.31,26.83,28.75
59,108.4,25.35,26.84,28.71
60,108.37,25.42,26.92,28.62
61,109.75,25.67,27.12,28.93
62,109.82,25.67,27.16,28.85
63,109.29,25.57,27.1,28.79
64,110.49,25.74,27.39,29.01
65,110.01,25.71,27.41,28.63
66,109.71,25.72,27.4,28.69
67,109.48,25.57,27.34,28.7
68,109.92,25.69,27.57,28.7
69,109.98,25.62,27.51,28.59
70,109.9,25.6,27.53,28.45
71,109.52,25.44,27.49,28.37
72,110.36,25.57,27.56,28.47
73,110.12,25.59,27.44,28.4
74,109.88,25.5,27.45,28.35
75,110.69,25.75,27.62,28.45
76,110.41,25.67,27.6,28.39
77,110.81,25.79,27.57,28.39
78,111.27,25.85,27.59,28.46
79,112.7,26.11,27.78,28.8
80,113.09,26.15,27.77,28.92
81,112.39,26.08,27.61,28.72
82,113.01,26.25,27.68,28.88
83,113.19,26.36,27.71,28.88
84,112.5,26.2,27.6,28.78
85,111.83,25.99,27.5,28.61
86,111.48,25.87,27.57,28.61
87,111.83,25.97,27.54,28.76
88,111.76,26.03,27.45,28.78
89,111.8,25.97,27.58,28.74
90,112.05,25.93,27.68,28.85
91,112.41,25.87,27.61,28.81
92,112.22,25.98,27.58,28.79
93,112.34,25.99,27.59,28.71
94,112.61,25.97,27.63,28.73
95,112.87,25.96,27.71,28.74
96,112.64,26.01,27.75,28.73
97,112.51,26.03,27.73,28.69
98,112.12,25.99,27.67,28.54
99,112.25,26.01,27.65,28.46
100,112.19,26.06,27.67,28.42
101,110.98,25.95,27.53,28.18
102,111.33,26.03,27.69,28.15
103,111.21,25.99,27.75,28.07
104,110.99,25.93,27.69,28.04
105,111.44,26.0,27.7,28.34
106,110.39,25.82,27.66,28.12
107,110.48,25.87,27.83,28.1
108,111.0,26.11,27.96,28.26
109,110.67,26.07,27.97,28.12
110,109.88,25.89,27.82,27.99
111,109.98,25.96,27.78,28.04
112,109.67,25.82,27.65,27.95
113,108.98,25.68,27.66,27.86
114,109.23,25.63,27.64,27.94
115,109.12,25.59,27.62,27.84
116,109.69,25.65,27.71,27.94
117,109.84,25.62,27.64,27.93
118,109.22,25.61,27.47,27.66
119,108.87,25.5,27.33,27.55
120,108.54,25.5,27.19,27.47
121,108.31,25.35,27.15,27.41
122,108.68,25.39,27.17,27.51
123,109.54,25.54,27.37,27.67
124,109.79,25.57,27.29,27.84
125,109.48,25.53,27.28,27.78
126,110.01,25.61,27.4,27.88
127,111.05,25.62,27.51,28.15
128,110.6,25.57,27.45,28.06
129,110.41,25.57,27.4,28.06
130,110.27,25.55,27.34,28.08
131,110.9,25.73,27.42,28.24
132,110.37,25.67,27.36,28.13
133,110.23,25.63,27.38,28.02
134,109.71,25.54,27.31,27.88
135,110.8,25.72,27.49,28.04
136,110.43,25.67,27.56,28.0
137,110.05,25.6,27.51,27.86
138,111.07,25.83,27.61,28.0
139,110.83,25.77,27.62,27.95
140,110.21,25.62,27.49,27.8
141,110.38,25.67,27.47,27.97
142,110.15,25.7,27.5,27.9
143,110.48,25.83,27.54,27.98
144,110.1,25.84,27.41,27.88
145,109.34,25.83,27.28,27.71
146,109.29,25.68,27.22,27.67
147,109.75,25.65,27.25,27.64
148,109.23,25.7,27.14,27.45
149,110.1,25.82,27.37,27.67
150,109.92,25.86,27.38,27.6
151,110.75,26.11,27.4,27.68
152,111.09,26.35,27.47,27.71
153,110.62,26.16,27.48,27.4
154,111.2,26.2,27.47,27.63
155,111.05,26.2,27.44,27.63
156,110.07,26.02,27.33,27.41
157,108.94,25.81,27.22,27.13
158,108.79,25.7,27.17,27.06
159,108.43,25.73,27.11,26.94
160,108.6,25.78,27.2,26.96
161,108.78,25.83,27.24,27.0
162,108.38,25.74,27.06,26.92
163,107.67,25.69,26.98,26.67
164,107.91,25.79,26.95,26.69
165,108.09,25.8,27.02,26.8
166,108.3,25.85,27.13,26.87
167,108.25,25.77,27.06,26.92
168,108.61,25.83,27.26,26.96
169,109.11,26.03,27.27,26.95
170,109.88,26.13,27.32,27.03
171,109.58,26.14,27.32,26.96
172,110.28,26.28,27.51,27.12
173,110.03,26.13,27.5,27.1
174,109.39,25.92,27.42,26.84
175,109.55,25.95,27.44,26.94
176,110.89,26.18,27.7,27.18
177,110.06,26.1,27.6,26.98
178,109.32,26.0,27.47,26.86
179,108.36,25.73,27.41,26.6
180,108.4,25.68,27.3,26.54
181,108.29,25.52,27.39,26.49
182,107.68,25.48,27.34,26.47
183,107.75,25.65,27.41,26.48
184,107.48,25.49,27.37,26.55
185,107.27,25.49,27.24,26.45
186,106.91,25.35,27.17,26.35
187,106.7,25.34,27.09,26.29
188,105.95,25.13,26.8,26.18
189,105.09,24.99,26.67,26.02
190,105.17,24.99,26.66,26.04
191,105.4,25.14,26.75,26.05
192,105.31,25.16,26.77,25.99
193,105.83,25.22,26.79,26.14
194,106.22,25.29,26.78,26.12
195,106.13,25.25,26.81,26.05
196,106.32,25.28,26.74,26.19
197,105.75,25.17,26.71,26.04
198,105.55,25.17,26.65,25.96
199,105.04,25.12,26.62,25.76
200,104.35,25.02,26.53,25.63
201,104.65,24.98,26.59,25.78
202,104.72,25.16,26.64,25.79
203,104.25,25.03,26.53,25.58
204,104.03,25.06,26.47,25.49
205,105.06,25.29,26.66,25.59
206,105.56,25.43,26.78,25.66
207,105.52,25.36,26.82,25.73
208,105.53,25.31,26.84,25.71
209,105.04,25.17,26.7,25.61
210,104.69,25.07,26.61,25.54
211,104.17,24.93,26.54,25.43
212,103.79,25.01,26.49,25.39
213,104.11,24.95,26.44,25.44
214,103.56,24.94,26.31,25.25
215,103.72,24.99,26.33,25.39
216,103.5,24.91,26.33,25.38
217,103.26,24.88,26.21,25.29
218,103.97,25.04,26.31,25.46
219,103.46,24.92,26.15,25.43
220,103.63,24.93,26.19,25.55
221,103.03,24.79,26.1,25.41
222,103.36,24.73,26.18,25.47
223,103.86,24.82,26.24,25.74
224,103.55,24.81,26.13,25.59
225,103.77,24.94,26.24,25.71
226,103.59,24.87,26.19,25.72
227,103.35,24.7,26.1,25.7
228,103.92,24.73,26.15,25.84
229,104.42,24.76,26.25,25.99
230,104.38,24.84,26.31,25.97
231,104.24,24.85,26.22,26.15
232,103.58,24.79,26.1,25.97
233,103.42,24.79,26.17,25.89
234,104.14,24.84,26.17,26.11
235,103.8,24.72,26.09,26.15
236,103.59,24.74,26.14,26.05
237,104.04,24.91,26.16,26.15
238,104.57,25.04,26.2,26.41
239,103.98,24.89,26.13,26.26
240,103.42,24.83,26.0,26.14
241,102.23,24.58,25.87,25.92
242,101.68,24.63,25.73,25.7
243,101.37,24.59,25.82,25.61
244,102.63,24.94,25.94,25.82
245,102.65,24.86,26.04,25.83
246,102.8,24.89,26.1,25.9
247,102.18,24.69,25.9,25.8
248,102.48,24.76,25.96,25.79
249,103.21,24.87,25.95,25.98
250,103.12,24.9,25.95,25.96
251,103.5,25.02,25.91,26.03
252,103.21,24.88,25.82,25.85
253,103.19,24.86,25.77,25.72
254,102.76,24.71,25.77,25.73
255,102.11,24.62,25.64,25.66
256,101.14,24.49,25.46,25.54
257,101.0,24.48,25.48,25.42
258,100.46,24.41,25.31,25.29
259,100.76,24.51,25.43,25.28
260,100.69,24.44,25.3,25.25
261,100.57,24.35,25.29,25.18
262,100.43,24.27,25.36,25.18
263,100.31,24.26,25.33,25.19
264,100.45,24.3,25.38,25.24
265,100.65,24.37,25.44,25.32
266,100.19,24.34,25.26,25.34
267,100.33,24.43,25.33,25.42
268,99.99,24.44,25.36,25.35
269,100.07,24.46,25.35,25.46
270,100.11,24.46,25.37,25.54
271,100.3,24.57,25.38,25.56
272,100.15,24.48,25.36,25.57
273,100.28,24.49,25.36,25.61
274,100.73,24.51,25.47,25.69
275,100.86,24.6,25.43,25.65
276,101.52,24.81,25.5,25.89
277,101.71,24.9,25.48,25.96
278,101.12,24.84,25.41,25.79
279,101.57,24.88,25.39,25.84
280,101.32,24.93,25.28,25.72
281,101.86,25.03,25.45,25.86
282,101.75,25.08,25.4,25.84
283,101.2,24.95,25.36,25.75
284,101.62,25.05,25.48,25.77
285,101.99,25.17,25.47,25.72
286,102.11,25.14,25.5,25.59
287,102.41,25.06,25.56,25.66
288,102.83,25.22,25.47,25.66
289,103.04,25.33,25.61,25.7
290,103.29,25.51,25.72,25.78
291,103.49,25.57,25.74,25.73
292,103.22,25.54,25.71,25.61
293,103.11,25.43,25.65,25.54
294,102.45,25.32,25.43,25.42
295,102.62,25.24,25.44,25.49
296,102.87,25.29,25.46,25.58
297,102.54,25.43,25.36,25.49
298,101.19,25.28,25.13,25.22
299,100.86,25.17,25.05,25.17
300,100.0,25.0,25.0,25.0
